day,users_count,questions_count,answers_count,comments_count,reactions_count,follows_count,blocks_count,mutes_count,reports_count,themes_count,user_bans_count,inbox_count
2018-01-29,0,0,25,0,0,0,0,0,0,0,0,1
2018-01-30,3,5,4,0,23,30,0,0,0,0,0,25
2018-01-31,0,2,0,0,0,0,0,0,0,0,0,25
2018-02-01,1,2,7,2,8,0,0,0,0,0,0,13
2018-02-02,0,2,0,0,0,0,0,0,0,0,0,27
2018-02-03,1,0,16,3,9,1,0,0,0,0,0,0
2018-02-04,0,2,1,0,0,0,0,0,0,0,0,27
2018-02-05,0,2,2,0,3,0,0,0,0,0,0,14
2018-02-07,0,3,7,1,7,0,0,0,0,0,0,39
2018-02-08,0,1,1,5,3,0,0,0,0,0,0,12
2018-02-09,1,0,1,1,1,0,0,0,0,0,0,0
2018-02-10,2,17,3,0,1,0,0,0,0,0,0,11
2018-02-11,1,4,4,0,0,0,0,0,0,0,0,0
2018-02-12,0,2,5,0,11,0,0,0,0,0,0,27
2018-02-13,0,3,3,0,1,0,0,0,0,0,0,12
2018-02-14,0,5,1,0,0,0,0,0,0,0,0,13
2018-02-15,1,2,1,0,1,0,0,0,0,0,0,12
2018-02-16,7,4,13,13,10,14,0,0,0,0,0,13
2018-02-17,37,139,245,240,280,329,0,0,1,3,0,164
2018-02-18,6,99,280,137,255,124,0,0,0,2,0,183
2018-02-19,1,20,55,38,69,31,0,0,0,0,0,75
2018-02-20,0,36,57,22,60,6,0,0,0,0,0,94
2018-02-21,0,20,49,8,30,3,0,0,0,0,0,71
2018-02-22,1,35,82,23,84,5,0,0,2,0,0,86
2018-02-23,0,20,96,25,76,4,0,0,0,0,0,334
2018-02-24,2,7,46,16,57,2,0,0,0,0,0,66
2018-02-25,2,12,79,111,111,67,0,0,0,1,0,54
2018-02-26,3,7,28,10,30,46,0,0,0,2,0,61
2018-02-27,1,15,77,69,88,5,0,0,0,1,0,111
2018-02-28,2,12,81,36,117,10,0,0,0,0,0,127
2018-03-01,0,8,58,16,61,2,0,0,0,0,0,93
2018-03-02,2,11,60,39,93,14,0,0,0,0,0,111
2018-03-03,0,20,42,29,76,7,0,0,0,0,0,162
2018-03-04,1,8,60,201,467,9,0,0,0,0,0,108
2018-03-05,1,12,22,9,31,1,0,0,0,0,0,102
2018-03-06,1,9,25,5,27,2,0,0,0,0,0,79
2018-03-07,0,12,26,11,14,0,0,0,0,0,0,85
2018-03-08,0,6,17,7,27,0,0,0,1,0,0,67
2018-03-09,0,5,41,5,60,1,0,0,0,0,0,77
2018-03-10,1,9,22,55,26,11,0,0,0,0,0,90
2018-03-11,0,10,37,31,50,2,0,0,0,0,0,171
2018-03-12,0,4,28,4,29,3,0,0,0,0,0,75
2018-03-13,0,8,15,13,13,0,0,0,0,0,0,94
2018-03-14,1,51,82,5,34,0,0,0,1,1,0,86
2018-03-15,0,7,68,11,68,0,0,0,0,0,0,87
2018-03-16,0,11,49,18,66,0,0,0,0,0,0,195
2018-03-17,1,27,68,17,48,0,0,0,0,0,0,104
2018-03-18,0,13,59,33,71,0,0,0,0,0,0,61
2018-03-19,0,6,38,20,58,5,0,0,0,0,0,46
2018-03-20,0,7,12,6,20,0,0,0,0,0,0,54
2018-03-21,0,10,19,22,34,0,0,0,0,0,0,87
2018-03-22,0,11,28,11,38,0,0,0,0,0,0,109
2018-03-23,1,9,18,34,15,1,0,0,0,0,0,97
2018-03-24,1,9,91,42,110,1,0,0,0,0,0,98
2018-03-25,0,14,47,97,70,7,0,0,0,0,0,126
